"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"4431517","Calen Bullock","USC","Pac-12","interceptions","TD","1"
"4567115","Shane Lee","USC","Pac-12","defensive","TD","0"
"4428471","Bryson Shaw","USC","Pac-12","defensive","TFL","2"
"4432660","Anthony Beavers Jr.","USC","Pac-12","defensive","PD","0"
"5121775","Elijah Hughes","USC","Pac-12","defensive","TD","0"
"4431580","Miller Moss","USC","Pac-12","passing","COMPLETIONS","23"
"4569515","Max Williams","USC","Pac-12","defensive","SOLO","15"
"4870922","Duce Robinson","USC","Pac-12","receiving","YPR","20.5"
"-7768"," Team","USC","Pac-12","passing","PCT","0.000"
"4431618","Mario Williams","USC","Pac-12","passing","ATT","1"
"4430601","Kobe Pepe","USC","Pac-12","defensive","TD","0"
"4569330","Austin Jones","USC","Pac-12","receiving","YDS","79"
"4569330","Austin Jones","USC","Pac-12","defensive","TD","0"
"4431619","Ceyair Wright","USC","Pac-12","defensive","TD","0"
"4569515","Max Williams","USC","Pac-12","interceptions","INT","1"
"4373474","Jarrett Kingston","USC","Pac-12","defensive","TD","0"
"4870659","Tackett Curtis","USC","Pac-12","defensive","TD","0"
"5121775","Elijah Hughes","USC","Pac-12","defensive","TOT","2"
"4431517","Calen Bullock","USC","Pac-12","defensive","TOT","58"
"4430571","Stanley Ta'ufo'ou","USC","Pac-12","defensive","QB HUR","1"
"4428383","Christian Roland-Wallace","USC","Pac-12","interceptions","INT","2"
"4428471","Bryson Shaw","USC","Pac-12","defensive","TD","0"
"4361689","Solomon Byrd","USC","Pac-12","defensive","SOLO","24"
"4685402","Domani Jackson","USC","Pac-12","defensive","SOLO","24"
"5121775","Elijah Hughes","USC","Pac-12","defensive","QB HUR","0"
"5121775","Elijah Hughes","USC","Pac-12","defensive","PD","0"
"4569330","Austin Jones","USC","Pac-12","receiving","LONG","24"
"4685268","Raleek Brown","USC","Pac-12","rushing","CAR","3"
"4870612","Zachariah Branch","USC","Pac-12","receiving","REC","29"
"4567506","Tahj Washington","USC","Pac-12","defensive","QB HUR","0"
"4565305","Andrew Milek","USC","Pac-12","defensive","TOT","1"
"4431619","Ceyair Wright","USC","Pac-12","defensive","PD","2"
"4686781","Brenden Rice","USC","Pac-12","receiving","REC","45"
"4431274","Korey Foreman","USC","Pac-12","defensive","PD","0"
"4431611","Caleb Williams","USC","Pac-12","rushing","CAR","99"
"4426695","De'jon Benton","USC","Pac-12","defensive","SOLO","9"
"4374309","Jac Casasante","USC","Pac-12","defensive","SOLO","0"
"4430211","Jamil Muhammad","USC","Pac-12","defensive","TFL","9"
"4426695","De'jon Benton","USC","Pac-12","defensive","SACKS","2"
"4870795","Makai Lemon","USC","Pac-12","kickReturns","LONG","26"
"4870847","Ja'Kobi Lane","USC","Pac-12","receiving","REC","4"
"4428471","Bryson Shaw","USC","Pac-12","defensive","TOT","47"
"4569330","Austin Jones","USC","Pac-12","rushing","YPC","5.6"
"4374309","Jac Casasante","USC","Pac-12","defensive","SACKS","0"
"4428921","Jude Wolfe","USC","Pac-12","receiving","TD","1"
"4430571","Stanley Ta'ufo'ou","USC","Pac-12","fumbles","LOST","0"
"4429023","MarShawn Lloyd","USC","Pac-12","rushing","TD","9"
"4432244","Romello Height","USC","Pac-12","defensive","TOT","17"
"4431048","Jacobe Covington","USC","Pac-12","defensive","TFL","1.0"
"4432244","Romello Height","USC","Pac-12","defensive","SACKS","4"
"4565305","Andrew Milek","USC","Pac-12","defensive","TD","0"
"4361689","Solomon Byrd","USC","Pac-12","defensive","TOT","40"
"4683061","Prophet Brown","USC","Pac-12","defensive","TFL","0"
"4428383","Christian Roland-Wallace","USC","Pac-12","defensive","QB HUR","0"
"4685268","Raleek Brown","USC","Pac-12","rushing","LONG","14"
"4432784","Kyron Ware-Hudson","USC","Pac-12","receiving","TD","1"
"4697524","Matt Colombo","USC","Pac-12","rushing","TD","0"
"4569330","Austin Jones","USC","Pac-12","fumbles","REC","0"
"5121775","Elijah Hughes","USC","Pac-12","defensive","TFL","1"
"4870847","Ja'Kobi Lane","USC","Pac-12","receiving","TD","0"
"4431274","Korey Foreman","USC","Pac-12","defensive","QB HUR","0"
"4430211","Jamil Muhammad","USC","Pac-12","defensive","TD","0"
